state,party,year,sd
IL,D,2015,0.6094817403785519
IL,D,2016,0.6094817403785519
IL,R,1996,0.22656487164833863
IL,R,1997,0.2363295305403974
IL,R,1998,0.2351750063587098
IL,R,1999,0.2706322461508266
IL,R,2e3,0.2706322461508266
IL,R,2001,0.3280703014392027
IL,R,2002,0.3280703014392027
IL,R,2003,0.2781544071443709
IL,R,2004,0.2781544071443709
IL,R,2005,0.3113982307861126
IL,R,2006,0.3113982307861126
IL,R,2007,0.31946937529225383
IL,R,2008,0.31946937529225383
IL,R,2009,0.33001485029986105
IL,R,2010,0.33001485029986105
IL,R,2011,0.37065396751736474
IL,R,2012,0.3883890120424684
IL,R,2013,0.3729007945164778
IL,R,2014,0.38248189997966797
IL,R,2015,0.3097470251799735
IL,R,2016,0.3097470251799735
IN,D,1996,0.22913256936418783
IN,D,1997,0.21148260023955076
IN,D,1998,0.21148260023955076
IN,D,1999,0.205180079495478
IN,D,2e3,0.20104635317180025
IN,D,2001,0.20761418946951976
IN,D,2002,0.2082681699734573
IN,D,2003,0.20813236361583395
IN,D,2004,0.20633803756604435
IN,D,2005,0.2066106153256609
IN,D,2006,0.20460727713014004
IN,D,2007,0.20972276938854303
IN,D,2008,0.20615759248976606
IN,D,2011,0.2277221147329823
IN,D,2012,0.23036403604417965
IN,D,2013,0.22907802117389228
IN,D,2014,0.22907802117389228
IN,D,2015,0.23394514324785862
IN,D,2016,0.23704696418117913
IN,R,1996,0.18945408547996664
IN,R,1997,0.1890667747281961
IN,R,1998,0.18548547332965598
IN,R,1999,0.1668387939411493
IN,R,2e3,0.169366201670434
IN,R,2001,0.16641772280735256
IN,R,2002,0.16749532143078683
IN,R,2003,0.17102196073727427
IN,R,2004,0.1677406916220699
IN,R,2005,0.1600307097225362
IN,R,2006,0.14719656776771076
IN,R,2007,0.1305978461885111
IN,R,2008,0.13123030140483075
IN,R,2011,0.11259677068353949
IN,R,2012,0.11259677068353949
IN,R,2013,0.11021624485919052
IN,R,2014,0.10459424300230015
IN,R,2015,0.10328685417550888
IN,R,2016,0.10437580648892295
KS,D,1996,0.2799549977049128
KS,D,1997,0.29727870964075737
KS,D,1998,0.2954428418308957
KS,D,1999,0.30444478516852946
KS,D,2e3,0.30444478516852946
KS,D,2001,0.3226254614964496
KS,D,2002,0.3246741832245447
KS,D,2003,0.3430036104935255
KS,D,2004,0.3404161995100834
KS,D,2005,0.29359951331027084
KS,D,2006,0.2976426009263104
KS,D,2007,0.3142306215240669
KS,D,2008,0.3142306215240669
KS,D,2009,0.3156027150160311
KS,D,2010,0.3156027150160311
KS,D,2011,0.2911218244423916
KS,D,2013,0.27035355989608284
KS,D,2014,0.2564254868437034
KS,D,2015,0.3197220703968536
